description;MERO;ZÜLÝ;GÝZO;Toplu
Merhaba bunun hakkýnda neler dediðini söyler misin dün niacinamide kullanmaya baþladým hangi durumlarda bu söylediðin oluyor ne yapmak gerek???;2;2;1;2
Benim öðrendiðim en yararlý bilgi içeriklerin her cilde zararlý veya yararlý olacaðýnýn garantisinin olmamasý ve en önemlisinin kendi cildimizi tanýmak olmasý Emeðinize saðlýk ve teþekkürler 4 numaralý paket @sevvalhilalay;1;2;1;1
3 numara lekeli karma ??;2;2;2;2
Luvit in centalla tonerini aldým ama daha açmadým memnun kalan varmý ?;2;2;1;2
??;2;2;1;2
Çift aþamalý temizliði senden öðrendik Çisem öncümüzsün av.denizakgul 9 numara sevgiler ??;2;2;1;2
Sevgili Çisem sayende neler öðrendik. Öncümüzsün ?;2;1;1;1
20 Ocakta 40 yaþýma gireceðim ama Çisem Çakýr tavsiyeleri ile cilt yaþým 20 ??;1;1;1;1
Çisem videolarýna baþlarken süre uzun gibi gelsede anlatýklarýný bu kadar net ayrýntýlarý bu süreye nasýl sýðdýrmýþ diyerek bitiryorum her videonu. Ben yaz döneminde güneþ kremi seçime çok feyz aldým. Yað bazlý temizleyiciler ve makyaj ürünleri denemek isterim.;1;1;1;1
Çift aþamalý temizlik??güneþ kremi ve makyaj sadece köpük temizleyici ile gecmiyo gerçekten çift aþamalý temizlik önemliymiþ??14numara çok yaðlý cilt deniz_dnz.kaya teþekkürler;2;0;1;0
Emeðine saðlýk sayande daha çok bilgili olmayý baþladým .,,??Sayende tüm çevremdekiler güneþ kremini kullanmayi baþladý aðzýna saðlýk teþekkür ederiz,??????;1;1;1;1
hellöööö eþim yorum yapamýyor ben yapýyorum :d;0;2;0;0
2023'te uygun fiyatlý ürün kategorilerinde yerli bir üretim markasý olan HC Care ürünlerini de deneyip fikirlerinizi paylaþýrsanýz merakla bekliyor olucam.;2;2;2;2
Cýlt týpýme gore hangý markalarý alýp kullanmam gerektýgýný ogrendým. Çok marka var secmek çok zor oluyor sayende marka secýmýný ogrendým;2;1;2;2
Ben sizden öðrendiklerimi bu sene ile ve tek bir örnek ile sýnýrlayamam. Sizi uzun süredir takip ediyorum. Tabii ki bana kazandýrdýðýnýz en büyük deðiþiklik evde dahi güneþ kremi ile gezmem oldu. ?? Pandemi sonrasý dirençli aknelerle boðuþtuðum ve zoretanin tedavisi aldýðým bir süreç geçirdim. Sonrasýnda ise sizden edindiðim bilgilerle (burada bir es vermek istiyorum, sýnava hazýrlanýr gibi tekrar tekrar izlediðim kýymetli videolarýnýza binlerce kez teþekkürler ????) C vitamini, niacinamide, arbutin, ginseng gibi içeriklerle kendime bir rutin oluþturdum. Uzun vadeli etkileri adýna yorum yapmak için henüz erken ancak þimdiden cildimdeki canlýlýðý görebiliyorum. Zamanla sivilcelerin býrakmýþ olduðu izlerden de kurtulacaðýmý umuyorum. Sabah uyandýðýmda ilk iþ olarak cildim ile ilgilenmek ve gece yatmadan rutinimi tamamlayýp yatmak, buna vakit ayýrabilmek kendime olan sevgimi artýrdý. Belki de bana kazandýrdýðýnýz en büyük farkýndalýk kendi deðerimi anlamak oldu. ?? Yaþým 24 ve kuruya dönük karma bir cildim var ve bahsettiðim gibi sivilcelerden kalma ufak izler mevcut, bu nedenle 3 numaralý paketin benim için uygun olacaðýný düþünüyorum. Þanslý kiþilerden biri olup olmayacaðýmý bilmiyorum ancak þimdiden teþekkür ederim size, her þeyden önce emeðiniz, inceliðiniz ve güzel kalbiniz için. ??;1;1;2;1
Sevgili Çisem eðer beni seçersen bana sadece güneþ kremi ve bir tonik gönderdersen yeter.Çunku peptit krem ve serum var ama tonik ve güneþ kremi yeter. Cildim kuru bu arada.Çok teþekürler;2;2;2;2
KEÞKE YILLARDIR KULLANDIÐIN SEVDÝÐÝN CÝLT TÝPLERÝNE GÖRE AYRILMIÞ TÜM ÜRÜNLERÝN GENEL BÝR VÝDEOSUNU DA YAPSAN YAA:((;2;0;1;0
???;2;2;1;2
Keþke içinde parfüm de olsaydý;0;0;1;0
Kýsa ve öz bir þekilde, çok basamaklý ihtiyacým olmayan ürünlerle cildimi yormaktansa bariyer onarýp cildimin ihtiyacýna yönelik bir cilt bakýmý oluþturmayý öðrettin bana. Teþekkür ederim ?? 12 numara ??;2;1;1;1
Makyaj olay deðil mi?;2;2;1;2
"Sevgili Çisem, Seni Kore'nin ""cam cilt"" bakýmýna kafayý taktýðým dönemde keþfettim. Üniversiteden yeni mezun olmuþtum, su ve sabunla neredeyse ""çitileyerek"" temizlik yapmanýn iyi bir þey olduðunu düþünüyordum. Cam cilt rutinini görünce bir þeyleri yanlýþ yaptýðýmý anlamaya baþladým ama yine de bir sorun vardý. Zannediyordum ki, bu rutini yaparsam ben de mermer gibi bir cilde sahip olurum. Denedim kendimce bir þeyler ve faydasýný deðil zararýný gördüm, cildim asla barýþmadý bu rutinle. Sonra uzun uzun senin videolarýný izlemeye baþladým. O döneme dek cildime ne kadar hýrpalayýcý davrandýðýmý sayende fark ettim. Senden öðrendiklerimle kendime bir rutin oluþturdum. Eskiye oranla artýk daha temiz ve canlý bir cildim var ama elbette tüm o hatalardan kalan izler duruyor. Aynaya baktýðýmda kendimi kusurlu bulmak yerine artýk tüm bunlarýn hayatýn normal akýþýnda baþýma gelebilecek þeyler olduðunu da anladým. Kendimle barýþmýþ olmamda senin payýn büyük. Bu sene senden öðrendiðim en önemli þey çift aþamalý temizliðin bir zorunluluk olmayýþý idi. Ben þahsen belli zamanlarda fayda görürken belli zamanlarda hayal kýrýklýðýna uðruyor ve neyi yanlýþ yaptýðýmý düþünüyordum. Oysaki insan bedeninin saniyesi saniyesine uymuyor. Senden öðrendiðim her þey için teþekkür ederim. Bu sene 27. yaþýmý dolduruyorum, inþallah yaþ almaya devam ederken bu kanaldan, fikirlerinden ve deneyimlerinden faydalanmaya devam edebilirim. Benim yaðlý ve akneye meyilli bir cildim var, o yüzden 11 numara bana en uygunu sanýrým. Mutlu, huzurlu ve en çok da saðlýklý bir yýl diliyorum herkes için. Kendine cici bak. ?? (@itsnur.art instagram)";2;0;1;0
Cisem abla merhaba benn Illiyoon ceramide ato concentrate cream kullaniyorum??yorumunu almak istedim??nemlendiriciyle ilgili bi bilgin var mii sana sormak iyi olur diye dusunndum;2;2;1;2
"Benim senden öðrendiðim en önemli þey senin gibi güzel kalpli insanlarýn hala var olduðunun kanýtý olman, senden öðrendiðim en güzel þey bu umut aslýnda... ?? onun yanýnda kendi cildimi tanýmayý, ona doðru davranmayý öðrendim. neyi kullanmalý neyi kullanmamalýyým, hangi içerik ne iþe yarar, hangisi benim için doðru bugün biliyorsam hepsi senin sayende. Ýþine gösterdiðin özen beni araþtýrmaya, daha çok anlamaya, daha doðrusunu bulmaya itti hep. Her þey için çok teþekkür ederim caným Çisem, seninle tanýþmamdan bu yana geçen 2 senede cildim için ne doðruysa hep onu yaptým. Ha bir de, bu senenin bonusu beni by wishtrend retinal ile tanýþtýrman oldu. Cildimde roza olduðu için retinoid kullanmaya çekinirken 35 yaþýmda bu ürün ile baþladým ve daha 2 ay olmasýna raðmen cildimdeki kalite artýþýna inanamýyorum! Cildimi kurutup soyar mý daha da hassaslaþtýrýr mý diye korkarken rozaya bile iyi geldiðini fark ettim ?? Ps: hediye vermek istersen, 5 numaralý paket sanýrým benim için en doðrusu olur -eðer ürünlerin içeriðinde parfüm ve üre yoksa ?? Aklýmýzýn, kalbimizin, bedenimizin sapasaðlam durabildiði; sevdiklerimizin yanýmýzda kalabildiði bir yýl olsun... sevgiler??";1;2;1;1
Cilt bakýmýyla ilgili tüm gerçek ve doðru bilgileri senden öðrendim önceden bildiklerimin hepsinin yanlýþ olduðunu öðrendim ve senin sayende cilt bakýmýma daha çok önem vermeye ve dikkat etmeye baþladým.En önemli olaný ise güneþ kreminin olmazsa olmaz olduðunu öðrendim?? saatlerce konuþsan saatlerce dinlerim hiç sýkýlmadan.Bence senden öðreneceðim hala çok þey olduðunu düþünüyorum ???? Ýhtiyacým olan 3-lekeli ve karma cilt ?? ( @seymasnk );1;2;1;1
Çisem ablaaa bunun makyaj versiyonu da gelsinn????;2;2;1;2
Diger insanlar gibi beni takip edin, onu takip edin burayi takip edin gibi bir çekiliþ olamayýþý zaten ne kadar farklý bir insan oldugunu ortaya koyuyor ??ayrica sorduðun soru da çok anlamli. Güneþ kremini her gün kullanmak sadece yazýn deðil ve en çok özen gösterilmesi gereken ürün olduðu. ????;2;2;1;2
6 ya da 11 numaralý paketler cildime uygun olabilir. ahsen_o_01;2;2;2;2
Çiseeemmm, seni 2 yýldýr takip ediyorum ve takip ettiðim tek cilt bakýmý kanalýsýn. Pandemi döneminde cilt bakýmý hakkýnda yeni þeyler öðrenmeye karar verdikten sonra þans eseri seni keþfettim ve cilt bakýmý hakkýnda bildiðim her þeyi senden öðrendim. Senin beðendiðin ürünler benim cildimle de iyi anlaþtýðý için önerdiðin ürün ihtiyacým olan bir ürünse gözüm kapalý alýyorum. Gerçekten beðenmediðin bir ürünü önermeyeceðinden emin olduðum için içim çok rahat. Zaman zaman cildimle sorun yaþasam da özellikle çenemde her ay çýkan sivilcelerden ve geçmeyen sivilce lekelerinden büyük ölçüde kurtuldum. Senden öðrendiklerim sayesinde artýk içeriklerine bakarak ürün seçebiliyorum ve bu benim için harika bir þey. Bu kanala zaman ayýrdýðýn ve bana her videoda yeni bir þey öðrettiðin için teþekkür ederim. Çok güzel bir yýl diliyorum sana! (12-beyzaskr);1;1;1;1
??;2;2;1;2
Lisedeyken yüzüm sivilce ve lekelerle doluydu bende tabi ki her ergen kýzýn yapacaðý gibi bunu aðýr makyaj ile kapatmaya çalýþýyordum. Arkadaþlarým beni makyajsýz hiç görmemiþlerdi ve sanýrým iyi makyaj yaptýðýmdan cildimde ki problemler göze batmýyordu, tabi yatak döþek hasta olduðum güne kadar. Günlerce hastalýktan okula gitmeyip sýnav mecburiyeti yüzünden okula gittim, makyajsýz. Beni gören arkadaþlarýmýn bakýþlarýný hala unutamýyorum hatta en yakýn arkadaþýmýn 'senin yüzün ne kadar kötüymüþ, iyi ki makyaj yapabiliyormuþsun yoksa baya çirkinsin' demesi üzerine günlerce aðlayarak sonunda annemle cildiye'ye gittim. O zamanlar popüler olan mucize gibi anlatýlan Roaccutan tedavisi için doktora yalvardým ama yaþým küçük olduðu için (17 yaþ bence küçük deðil) tedaviyi kabul etmedi ve birkaç krem verip, büyüyünce geçer deyip yolladý beni. Hiç bu kadar çaresiz kaldýðýmý hatýrlamýyorum ama inat ettim madem doktor bir þey yapmýyor ben çözecektim bu iþi. Hemen internetten araþtýrmaya baþladým sayfalarca yazý, onlarca video izledim en son sizin bir videonuza denk geldim ' sivilce ve akneli ciltten nasýl kurtulunur diye bir videonuz vardý videoyu izlerken bakým rutininden bahsediyordunuz ve benim böyle bir rutinim yoktu olmasý gerektiðini bile bilmiyordum. Dove markasýnýn salatalýklý bir sabunu vardý sadece onunla yüzümü yýkýyordum. Videodan sonra araþtýrýp kendime rutin oluþturmaya karar verdim ve hep ciltlerine hayran olduðum koreli insanlarýn ne kullandýklarýný araþtýrmaya baþladým ve ev yapýmý bol pirinçli tarifler ekledim rutinime (ne rutin ama! ) cidimi tamamen kurutup pul pul dökülmesine neden olsalar da eðer yað kalmazsa sivilcede çýkmaz düþüncesini atamadým kafamdan ama tabiki sivilceler devam etti. Pes etmedim ama biraz ara vermeye karar verdim (cildimi mahvettiðimi biiyordum) bu sýrada her attýðýnýz videoyu izliyordum ve sürekli not alýyordum. Zamanla cilt bakýmý ile ilgili bazý þeyler kafamda oturmaya baþladý güneþ kremi kullanmak, yüzümüzü elleri yýkadýðýmýz sabunlarla yýkamamak gerektiði, herkesin cildinin farklý þeylere ihtiyacý olduðu gibi þeyleri kafamda oturttum. Zorlu bir süreçti ama geçti. Hepsi sizin sayenizde desem yalan olmaz sanýrým sayenizde kendime bir rutin oluþturdum ve içerik okumayý öðrendim (not defteri ile geziyordum :D ) önce sivilcelerimi tedavi ettim sonrada cildimin bozulan bariyerini tabi ki bu bir süreç hala tedavi etmeye çalýþtýðým çok þey var ama bana çirkinsin diyen arkadaþým þimdi biraz utanabilirsin bence. Size çok ama çok teþekkür ederim hayatýmý deðiþtirdiniz. 22 yaþýnda genç bir kýz olarak belki de þuan ki tüm özgüvenimi size borçluyum. Eminim ki benden baþka yüzlerce insan ayný düþüncededir hepimizin adýna tekrar teþekkür ederim. Sizden öðrendiklerim bu yýlla ölçülemez eminim öðrenecek daha çok þeyim var. instagram: ntugce.kara 3) lekeli- karma cilt;0;0;1;0
Merhaba bu yýl sizden Azeleik asiti ve bariyer oluþturmanin önemini ögrendim.Her sey icin cok tesekkurler.;2;2;1;2
??;2;2;1;2
Selamm. Ben kozmetik ya da cilt bakýmý haricinde bir þeyden bahsetmek istiyorum. Doðum günü videonda bize zarar veren insanlardan kurtulmakla ilgili konuþmuþtun. Belirli aralýklarla o videoyu izliyorum ??. Umarým güzel insanlarla karþýlaþtýðýmýz bir yýl olur ??. (No 3/6/10/12 cilt tipim karma ve kýrmýzý lekelerim var);2;0;1;0
merhaba sizden she vec yorumu hiç görmedim belli bir sebebi var mý dikkatimi çekti;2;2;0;2
Çok haklý ????;2;2;1;2
????;2;2;1;2
Çisem haným bu sene sizden retinol türevleri nasýl kullanýlmaz bunu öðrendim. Çok yanlýþ kullanýyormuþum ve cildimi mahvetmiþtim þimdi cildim düzelmeye baþladý. Teþekkür ederim çok. ?? 10 numaralý kutu olursa çok sevinirim. Þimdiden teþekkür ederim. (@merveliia) ??;2;0;1;0
Yaglý ciltlerin nemlendirici kullanmaz bilirdim ama kullanmasý gerektiði ögrendim ve günes kreminin önemini anladým güneþin kýrýsýklýga yol açtigini ögrendim;2;0;1;0
2 ocak itibari ile 31 yaþýndayým ?? son zamanlarda yüzündeki içten parlama, saðlýklý bir cilt görünümünü seni yýllarca takip eden biri olarak farkýndayým o yüzden senden aldýðým bu retinal bilgisi ile bende rutinime en yakýn zamanda eklemek isterim ??o yüzden ben 5 diyorum. Sana önce saðlýk sonrasýnda bizler içim bol ürün denemeli bir yýl diliyorum ??;2;2;1;2
Seni daha 5 bin takipçin varken takip etmeye baþlamýþtým. Senden önce senden sonra derim susarým. Ýyi ki varsýn hep burda olman dileðiyle. 12. Paket ??;1;1;1;1
Size laviede adli instagram hesabimdan bir mesaj gondermistim 1 yada 2 hafta once, umarim o mesajimi okursunuz. O mesajda sizin bana nasil ilham verdiginizi anlatmistim. Tum emekleriniz icin tesekkurler ??;2;2;1;2
7yi seçiyorum?? öðrendiðim en faydalý bilgi asitler konusunda oldu;2;2;1;2
"""sen"" diye yazdýðýmý fark ettim þimdi, arkadaþ olarak gördüðüm için istemsiz oldu sanýrým ?? kusura bakmayýnýz ?? bilinçaltýnýn azizliði olmalý";0;0;1;0
Öðrendiðim en net þey içerik listesi okuma alýþkanlýðý??;2;1;2;2
Sizden bir çok þey öðrendim, hangisini saysam bilemedim ?? Ama en çok hayatýma geçirdiðim bilgi sanýrým çift aþamalý temizlik ve güneþ kremsiz dýþarý çýkmamak oldu ?? Verdiðiniz bilgilerin hepsi o kadar kaliteli kiiii ?? (12-Hassas karma) ( @fatmarrsln );1;1;1;1
En çok güvendiðim,senelerdir takip ettiðim ve cilt bakýmý ile ilgili tüm bildiklerimi öðrendiðim Çisem??seni gerçekten çok seviyorum,baþladýðýn günden beri sergilediðin disiplin,emeklerin ve iþine gösterdiðin saygý için çok teþekkür ediyorum;1;1;1;1
bi konu daha var :) günlük, haftalýk vlog ve kitap videolarýný da pencerede kargo bekler gibi bekliyorum ????;2;2;1;2
hmm, sen ve seni sevenler olarak yakýn arkadaþ olsak ?? ?????;2;2;1;2
Kývýrcýk saç için silikonlu ürünlerden korkmamam gerektiði benim için en etkili bilgi oldu. Bir de annenizin enginar tarifini 2022 içerisinde çok yaptým ?? (3 @kubran.unlu);2;2;1;2
Senin videonu izlemeden asla ürün almamama kaç puan?? önerdiðin tüm ürünler mi harika olur?? iyiki varsýn Çisem?? Bu iþin hakkýný veriyorsun gerçekten ??;1;1;1;1
Ýlk defa 2021 Haziran ayýnda videolarýnýzý izledim ve 7 ya da 8-ci videodan sonra artýk endime uygun bir rutim belirlenmiþdi aklýmda. Hemen trendyola girib 1000tl-lik bir alýþ-veriþ yapmýþdým :D ve hayatýmda kendime, cildime yaptýðým en birinci iyiliklerden biriydi. Artýk ürün içeriklerini sizin sayenizde daha iyi okuyor ve ona göre kendi seçimimi yapýyorum. Tabi ki en sevdiklerim Cosrx ve Missha oldu. Hatta 5-6 arkadaþýma da kanalýnýzý önerdim ki, Çisemi dinlemeden kendi baþýna bir rutine baþlama :) Bu yýl retinol dosyasý ile ilgili videonun bana daha çok yararý dokundu, hatta 20 yaþlarýn sonu 30 yaþlarda falan kullanmayý önerdiyiniz için rutinime dahil etmeyi gelecek yýla erteledim ???? Bu yýl boþluðunu hiss etdiyim tek þey Excel dosyasýný yenilememeniz oldu. Umarým yeni yýlda retinol\retinal önerileri ile birlikde yeni dosyaný incelemek þansýmýz olur. P.S. paket olarak 3, 6 ya da 12 daha çok bana uygun gibi :) (insta - @fatima.asgarova);1;1;1;1
Günes kremlerine doymayan ben;2;1;0;0
sevgili çisem güneþ kremi kullanmaya seninle baþladým, lekeli bir cildim var lekelerden kurtulmayi amaçlarken daha fazla zarar verdiðimi hassaslastirdigimi ve onarici icerikler kullanmam gerektigini senden ögrendim?? keþke lisede izliyor olsaydim (12 numara tam benlik);2;1;1;1
Sana zahmet Rosacea hastasi olanlara sabah ve aksam rutini cekebilirmisin;2;1;2;2
Avenin retinal kremini almistin cisem kullandin mi acaba (goz kremi olani degil onunla anlasamadiguni biliyorum);2;2;2;2
ogrenci biri olarak seni ilk gordugumde cildine hayran kaldim ve onerilerini dinleyerek hem butceme uygun hem de cok guzel bir cilt bakim rutini olusturdum kendime. su an cildim gercekten inanilmaz sana ne kadar tesekkur etsem az. hem cilt bakimi hem de makyaj videolarini cok severek takip ediyorum cisem abla iyi ki varsin. 6. paket cildime en uygun olani bu guzel hediyelesme ve bana kattigin her sey icin tesekkurlerr 3;1;1;1;1
3 ??? karma ve sivilce lekeli cilt ?? talibim;2;0;1;0
Seninle birlikte edindiðim en etkili bilgi exfoliasyonun yalnýzca yüz ile sýnýrlý kalmak zorunda olmadýðý bilgisiydi. Yaðlý saçlara sahibim, saç exfoliasyonu yapmaya baþladýðýmda yaðlanmamýn geciktiðini fark ettim. Bunun için teþekkür ederim ?? Cildim ise karma, t bölgesi yaðlý ve yanaklarý çok kuru olan bir cilt tipine sahibim, onunla baþ etmeyi yine seninle birlikte öðrendim. 6 numaralý paket benim için daha uygun olacaktýr. ??????;1;1;1;1
ya ben çok kararsýz kaldým. true care in nem serumunu mu alsam yoksa jumisonun waterfull toniðini mi alsam bariyer onarýcý bir ürün için;2;2;2;2
Kahvemi alýp geldim????;2;2;1;2
lekeli cildim için ürün aramaktan delirecem ya sürekli yeni lekeler geliyor döngüye girdi resmen;0;0;1;0
Sevgili Çisem, sanýyorum 4 yýldýr seni takip ediyorum. Yaðmur ile ilk Kore ziyaretinizde bir sabah makyaj yaptýðýnýz vlog ile seninle tanýþtým. Kore ürünleri ile ilk tanýþmam ve aktif olarak hayatýma sokmamda böyle baþlamýþ oldu. Cildim 1 yýl içinde seviye atladý. 48 yaþýnda hassas, kuru bir cildim varken, Þimdi taþ çatlasýn 35 gösteren, nemli, aydýnlýk bir cilde sahip oldum. Güneþ kremleri seninle girdi hayatýma. Sadece cilt bakýmý deðil makyaj konusunda da, Lisa Eldridge ile senin sayende tanýþtým. Lisa'nýn minimal fýrça darbeleri ve özelikle göz makyajýnda kullandýðý sofistike renkler ile kendi makyaj tarzýný yaratmana bayýldým. Bundan ciddi esinlendim. Birde Fiko var tabi. oðluþunla kurduðun iliþki, hayata karþý duruþun, fikirlerini dile getirmendeki inceliðin.. iddiasýz iddiali halin.. seni seviyoruz Çisem. Ýlham verenlerdensin. ??????;1;2;1;1
Mhb öncelikle çok þekersin bunu söylemeden gecemicem. Birþey sormak istiyorum güneþ kiremi kulandýðým zaman yuzumdeki kýrýþýklýklarý artýrýyor bunun sebebi ne olabilir acaba;2;0;1;0
12 numarayý istiyorum cisem kýlcal damarliyim;2;0;2;2
Çisem, bundan 5 yýl önce seni takip etmeye baþladým. O zamandan beri seni ve verdiðin bilgilerin kýymetini etrafýma hep anlatarak yaymaya çalýþtým. Bana bu sene 30 yaþ üstü biri olarak kattýðýn en güzel þey retinAl oldu. By wishtrend' in retinal kremini sene ortasýndan beri kullanýyorum ve cildimdeki deðiþim gerçekten inanýlmaz. Sayende, emeðine saðlýk. Bilgi paylaþabilmek herkesin bu denli içerisinden gelen bir þey deðil. Ýyi ki varsýn! Benim paketimse 6. 3;1;1;1;1
Buradaki bir çok kiþi gibi yað bazlý temizleyici kullanmayý çift aþamali temizliðin önemini öðrendim ve son bir yýlda cildime gerçekten iyi geldiðini fark ettim. Güneþ kreminin yaþlanma üzerindeki etkisini 1 yýldýr kullandýðým için kanitlayamam ama düzenli kullanýmda siyah nokta azalmasýný görebiliyorum. Asit yada cilt bariyer rutinletini de daha doðru bir þekilde düzenlemeyi senden öðrendim yani tecrübe etmiþ birinden bir çok detayýný cildim zarar görmeden öðrenip uyguluyorum. Bu gün de azelik asidin göz çevresindeki millara iyi geldiðini öðrendim ayný sorunu yaþadýðýmda kullanmayý düþünüyorum. Teþekkürler iyi ki varsýnýz Çisem Haným .Nice güzel senelere ??6 numara karma ciltler için olan paket benim için uygun olur muhtemelen . Teþekkürler;2;1;1;1
Bunun bir de makyaj versiyonu da gelebilir mi?;2;2;2;2
Merhaba çisem, retinalin retinoldan daha etkili ama daha nazik olduðunu, antiaging ve sivilce için en etkili içerik olduðunu, ginseng serumlarýn peptit serumlarý ile çok iyi çalýþtýðýný, aha ve bha nýn ne iþe yaradýðýný aha nýn da türleri olduðunu, akýþkan formda güneþ kremlerini sürme yöntemi, nemlendirici kremlerde nelere dikkat etmemiz gerektiði yani aslýnda cilt bakýmýyla alakalý bir çok önemli konuyu senin sayende öðrendim ve cilt bakýmýna senin sayende merak saldým. 30 yaþýmý yeni geçtim ikizlerim olduðu için günlerim biraz yorucu geçiyor vakit buldukça içeriklerini izlemeyi hobi edindim. Çünkü bu iþi gerçekten severek, isteyerek, hakkýyla yapan, buna mesai harcayan sayýlý içerik üreticilerindensin. Hatta bazen eþimin yanýnda açýyorum videolarýný, söylediklerini duya duya o da öðrenmiþ içerikleri, bazen quiz yapýyorum niacinamid ne iþe yarýyo dedim cilt bariyerini güçlendirir sebumu dengeler dedi, bha ne iþe yarar dedim Beta hidroksi asit mi diyo bana ben þok ?? kýsacasý emeklerinin karþýlýðýný aldýðýn Saðlýklý, huzurlu, mutlu bir yýl dilerim. ( 2-5-6-10-12 nolu paketlerden herhangi biri olabilir) (karmadan kuruya dönük bir cildim var) ( instagram: @giizemmceylan );2;2;1;2
??;2;2;2;2
MerhAba ya bende yeni takip etmeye basladým çisemi ama kendþme rutin oluþturamadým cildimde herhangi bir sorun yok esmer kumral arasýyým sivilcem yok yüZüm kuruda deðil ama normal yani hiçbirþey kullanmýyorum solante alýcam günes kremi olarak makyajdan sonra nasýl temizlemeliyim ne kullanmalýyým bioderma temizleme jeli iyimi kafam cok karýsýk ya yardýmcý olucak kimse yokmu;2;2;1;2
????;2;2;1;2
By wishtrend' in retinali sivilce, siyah nokta ve kýrmýzý lekelere iyi gelir mi;2;0;2;2
2 sene önce, 40 yaþýndayken yaþamaktan býktýðým bazý cilt sorunlarým yüzünden cilt bakýmýna baþlamak aklýma geldi, belki de önceden böyle þeyler yoktu, bilemiyorum. Bu yaþtan sonra cilt bakýmý yapsan ne fayda diyerek durumu küçümseyenler oluyordu. Sayenizde hiç de öyle olmadýðýný ben de gördüm, onlar da gördü. ?? Hiç de geç deðilmiþ. Çenemde 20 yýldýr geçmeyen sivilceleri sadece sivilce sanýyordum. Cildimin kuru olmasýna raðmen yanaklarým kuruluktan pul pul dökülüp kaþýnýrken çenemdeki hiç geçmeyen sivilcelere anlam veremiyordum. Çünkü aslýnda çenem de yanaklarým ve alným gibi kuruydu ve bana göre kuru ciltte sivilce olmasý çok anlamsýzdý. Roza hastasý olabileceðimi sizi dinleyince tahmin ettim. Doktora gittim, roza teþhisi koydu. Doktora sizden öðrendiklerimi anlatýnca reçetesini sizin tavsiyelerinize göre düzenledi. Þimdi sivilce yok, yanaklarýmda kýzarýklýk, kaþýnma, dökülme yok. Cilt bariyerim aþýrý güçlendi, yeni bir þey deneyince bile kýzarmýyor artýk söylemesi ayýp. ?? Serum neymiþ, asit neymiþ, kimyasal peeling neymiþ bir sürü detay öðrendim, yanaklarým elimi doldurmaya baþladý, kabuklu görüntüler yok, siyah noktalarý çok yakýndan ve çok ýþýkta görebiliyorum þu anda. Eskiden yüzüme kese yapýyordum ya hu , ayýplamasýn kimse lütfen . Artýk sizi dinlemeden bile cildimin o gün neye ihtiyacýný olduðunu anlýyorum. Sorunlarým olursa kendi baþýma kolayca çözüyorum. Ýzlemesem de olur aslýnda artýk ama o Fransýz aksanýyla konuþtuðunuz Türkçeye bayýlýyorum. O yüzden sizden vazgeçemem. Bir de göz altýnýz ile yanaðýnýz arasýnda bir fark yok ya hani, o bölgeye bakmaktan çok hoþlanýyorum. ??Göz altýnýz yok sizin. ??;1;0;1;1
Modunmu düsük bu videoda?;0;0;0;0
Sevgili Çisem bana 30 yaþ üstü kuru cillt için olan paketi göndermeni çok istiyorum.Senin YouTube kanalýnda kayboldum.Aptal biri deðilim güya öðretmenim ama kendime nealacagim karar veremedim.Çok acil yüz temizlik ürünü almam gerek ama araþtirmaktan mahvoldum.Selamlar;0;0;1;0
Merhabalar az önce dört yýl önceki bir videonuza denk geldim, yüzünüz çok dolgun ve daha da güzelleþmiþ, daha önce de sormuþtum siz arada dokuz kilo var demiþtiniz ama sorduðum video teenage videosuydu, dört yýl öncesine göre de kilo aldiniz mý bu kadar fark yaratacak, yoksa cidden sadece cilt bakýmý mý bu kadar güzelleþtirmiþ sizi?;0;0;1;0
@Beyza DeðirmenciRica ederim ??;2;2;1;2
@Seray Karakuþ cok tesekkür ederim yardimci olduðun icin 3;1;2;1;1
@Beyza Deðirmenci bahsettiðin serumlarý tüm yüzüne sürebilirsin ve serumlarý yýkamýyorsun cildin emicek ve öyle kalýcak birlikte kullanýlmayan içeriklerin de ayný gün kullanmaman lazým haftanýn günlerini bölüp o seylide uygulaya bilirsin atýyorum pazartes;2;2;1;2
@Seray Karakuþ ben azelaic asit almayý düþünüyorum c vitamini ve niacinamide ile birlikte ama çoðunun kullanýmý hakkýnda bir fikrim yok nasýl kullanabilirim misal azelaic asit tüm yüze mi uygulanýyor yoksa bölgesel sorunlu yere mi veya uygulayýnca durulan;2;0;2;2
@Beyza Deðirmenci Merhaba maruderm salisilik asit yüz yýkama jeli'ni kullanýyorum sonrasýndan bha toniðini pamukla sürüyorum. Tonik biraz kuruduktan sonra bha ve peptit serumu var marudermin gözenek sýkýlaþtýrýcý diye geçiyor onu sürüyorum ve cilt tonu eþ;2;2;1;2
